alias	category	description	keywords
21027-1.mpd	Architecture	A detailed model of the Berlin TV Tower and surrounding buildings.	Berlin TV Tower, TV Tower, Germany, landmark, cityscape
21028-1.mpd	Architecture	A model of the New York City skyline featuring iconic skyscrapers.	New York City, skyscrapers, Empire State Building, Chrysler Building, Willis Tower
21029-1.mpd	Architecture	A detailed model of Buckingham Palace, a famous landmark in London.	Buckingham Palace, famous landmark, London, royal building, architecture
21030-1.mpd	Architecture	A detailed model of the United States Capitol Building.	United States Capitol Building, Capitol, Washington D.C., Government, Landmark
21031-1.mpd	Architecture	A detailed model of the Burj Khalifa, a skyscraper in Dubai.	Burj Khalifa, skyscraper, Dubai, famous landmark, building model
21032-1.mpd	Architecture	A model of the Sydney skyline featuring the Sydney Tower, Sydney Harbour Bridge, and the Sydney Opera House.	Sydney, skyscraper, bridge, opera house, cityscape
21033-1.mpd	Architecture	A model of the Chicago skyline featuring iconic skyscrapers.	Chicago, skyscrapers, city, architecture, model
21035-1.mpd	Architecture	A modern building with a unique design featuring a spherical structure on top.	building, spherical structure, modern architecture, unique design, spherical roof
21036-1.mpd	Architecture	A detailed model of the Arc de Triomphe in Paris, France.	Arc de Triomphe, Paris, France, landmark, architecture
21037-1.mpd	City / Town	A detailed model of a city with various buildings and structures.	city, buildings, structures, model, urban
21039-1.mpd	Architecture	A detailed model of a modern cityscape featuring tall skyscrapers and a distinctive tower with a purple top.	skyscrapers, tower, purple top, cityscape, modern architecture
21041-1.mpd	Castle	A medieval fortress with a large tower and a moat, featuring greenery and a stone wall.	castle, fortress, tower, moat, stone wall
21042-1.mpd	Architecture	A detailed model of the Statue of Liberty, a famous landmark.	Statue of Liberty, New York, famous landmark, landmark, city
21043-1.mpd	City / Town	A model of a cityscape featuring modern buildings and a bridge.	city, buildings, bridge, skyscrapers, urban
21045-1.mpd	City / Town	A detailed model of a cityscape featuring a large building with a dome, a fountain, and various trees and structures.	city, building, fountain, trees, model
21046-1.mpd	Architecture	A detailed model of the Empire State Building, a famous skyscraper in New York City.	Empire State Building, skyscraper, New York City, famous landmark, cityscape
21047-1.mpd	City / Town	A cityscape featuring a tall tower with a blue and white structure, surrounded by buildings and vehicles.	tower, city, buildings, vehicles, urban
21051-1.mpd	Architecture	A detailed model of Tokyo's skyline featuring iconic landmarks.	Tokyo, skyscrapers, landmarks, cityscape, model
21052-1.mpd	Architecture	A detailed model of the Dubai skyline, featuring iconic skyscrapers.	Dubai, skyscrapers, cityscape, architecture, famous buildings
21107-1.mpd	Technic	A model of a futuristic cityscape with tall buildings and a central tower, featuring a crane and smokestacks.	futuristic city, crane, smokestacks, tower, model
21113-1.mpd	Technic	A detailed model of a cave with a ladder, torch, and various blocks forming the structure.	cave, model, ladder, torch, blocks
2130-1.mpd	Technic	A model of a duck with a yellow body, red legs, and a blue beak.	duck, model, yellow, red, blue
21302-1.mpd	Everyday Life / Interior	A detailed dollhouse-style build featuring a cozy living room with a couch, coffee table, and various decorative items.	dollhouse, living room, couch, coffee table, decorative items
21303-1.mpd	Robots / Mecha	A robot with a yellow and gray body, equipped with a plant on its back, and a red light on its chest.	robot, yellow, gray, plant, red light
21307-1.mpd	Technic	A yellow and black Technic model car with a detailed mechanical design.	Technic, car, mechanical, yellow, black
21309-1.mpd	Technic	A detailed model of a rocket with a sleek, modern design.	rocket, model, sleek, modern, rocket model
21311-1_Lions.mpd	Technic	A collection of various toy vehicles and robots in a disassembled state.	toy vehicles, disassembled, robot, collection, toy
21311-1.mpd	Robots / Mecha	A robot with a red and silver color scheme, standing upright with a gun-like weapon in its right hand.	robot, mecha, red, silver, gun
21318-1_Autumn.mpd	Fantasy / Mythical	A whimsical treehouse with a blue roof and golden leaves, surrounded by a small garden with a pond and a sunflower.	treehouse, blue roof, golden leaves, garden, pond
21318-1.mpd	Fantasy / Mythical	A treehouse with a blue roof and green leaves, surrounded by a small garden with a wooden table and chairs.	treehouse, blue roof, green leaves, garden, wooden table
21319-1.mpd	Everyday Life / Interior	A detailed dollhouse-style build of a cafe with a striped awning, counter, and various items.	cafe, striped awning, counter, items, dollhouse
2132-1.mpd	Technic	A model of a cow made from LEGO bricks, featuring a simple and blocky design.	LEGO, cow, model, construction, brick
21321-1.mpd	Technic	A detailed model of the International Space Station, showcasing its complex structure and multiple modules.	International Space Station, model, space station, engineering, astronauts
21323-1.mpd	Technic	A detailed model of a grand piano with a stool, showcasing intricate mechanical details.	grand piano, mechanical model, piano, stool, model
21325-1.mpd	Fantasy / Mythical	A medieval-style blacksmith's workshop with a rustic appearance.	medieval, blacksmith, workshop, rustic, building
2133-1.mpd	Technic	A red and yellow Technic model with a yellow roof and red body, featuring a circular window and a yellow roof with two yellow pieces on top.	Technic model, red body, yellow roof, circular window, yellow pieces
2134-1.mpd	Technic	A model of a Bison Main with a red and black color scheme, featuring a cannon and a barrel.	Bison Main, model, cannon, red, black
2140-1.mpd	City / Town	A miniature city scene with various vehicles and buildings.	city, miniature, vehicles, buildings, miniature city
2148-1.mpd	Vehicles	A yellow truck with a flatbed trailer, a small figure in a blue outfit standing next to it.	yellow truck, flatbed trailer, small figure, blue outfit, construction vehicle
2149-1.mpd	Technic	A LEGO model of a truck with a trailer, featuring a blue cab and white trailer, with a small LEGO figure standing next to it.	LEGO, truck, cab, trailer, figure
2150-1.mpd	City / Town	A miniature model of a red building with a clock tower, surrounded by various figures and objects.	red building, clock tower, miniature model, figures, objects
2531-1.mpd	Vehicles	A LEGO model of a helicopter and a vehicle, with a character standing next to the vehicle.	helicopter, vehicle, LEGO, character, model
2541-1.mpd	City / Town	A LEGO figure dressed in a firefighter uniform standing next to a LEGO fire engine.	firefighter, fire engine, LEGO, uniform, vehicle
2542-1.mpd	Vehicles	A LEGO model of an Adventurers Aeroplane, featuring a pilot in a brown jacket and goggles.	LEGO, Adventurers Aeroplane, pilot, brown jacket, goggles
2584-1.mpd	Technic	A black and silver Technic model of a motorcycle with a rider, showcasing realistic mechanical functions and detailed components.	Technic, motorcycle, rider, realistic, mechanical
261-1.mpd	Everyday Life / Interior	A detailed dollhouse-style build of a bathroom with a bathtub, toilet, sink, and various bathroom accessories.	bathroom, bathtub, toilet, sink, accessories
262-2.mpd	Everyday Life / Interior	A detailed dollhouse-style build featuring a modern kitchen, dining area, and bedroom with bunk beds.	dollhouse, kitchen, dining area, bedroom, bunk beds
2845-1.mpd	Technic	Two LEGO models of medieval warriors, one holding a spear and the other with a bow and arrow.	LEGO, medieval, warriors, spear, bow
2846-1.mpd	Technic	A LEGO figure dressed in a white outfit with a red cross, holding a bow and arrow, standing on a red LEGO baseplate with a small green LEGO tree on top.	LEGO, figure, bow, arrow, baseplate
2882-1.mpd	Vehicles	A LEGO boat with a red-haired character inside, featuring a transparent canopy and red and gray details.	LEGO, boat, red-haired, transparent canopy, red and gray
2962-1.mpd	Technic	A model of a space rover with a yellow and black color scheme, equipped with various tools and a transparent dome, alongside a figure in a space suit and a yellow structure with a red button.	space rover, space suit, transparent dome, yellow structure, red button
30022-1.mpd	Technic	A model of a bee with a yellow and black striped body, black antennae, and a transparent body with a white label.	bee model, yellow and black stripes, transparent body, black antennae, white label
30023-1.mpd	Technic	A LEGO model of a lighthouse with a red and white striped base and a yellow light at the top.	LEGO, lighthouse, red and white stripes, yellow light, construction toy
30024-1.mpd	Technic	A model of a vehicle with a blue and gray color scheme, featuring cylindrical structures and wheels.	vehicle, model, cylindrical, wheels, blue
30025-1.mpd	Technic	A detailed model of a construction site with a crane and a building under construction.	construction site, crane, building, under construction, model
30026-1.mpd	Technic	A LEGO model of a robot or mecha with a white and black color scheme, featuring mechanical details and a green leaf-like structure.	LEGO, mecha, robot, technic, construction
30027-1.mpd	Technic	A detailed model of a vehicle with a combination of brown and beige colors, featuring a roof and a front section with a flat surface.	vehicle, model, brown, beige, roof
30028-1.mpd	Technic	A LEGO model of a character's feet with yellow boots, green pants, and red roses on the toes.	LEGO, character, feet, yellow boots, red roses
30029-1.mpd	Technic	A yellow mechanical figure resembling a bear with various mechanical components and parts.	bear, mechanical, yellow, bear figure, mechanical parts
30030-1.mpd	Technic	A model car with a sleek design, featuring a red and white body, black wheels, and a detailed chassis.	model car, sleek design, red and white, black wheels, chassis
30033-1.mpd	Vehicles	A model of a truck with a flatbed trailer, featuring a simple, functional design.	truck, flatbed trailer, simple design, functional, model
30034-1.mpd	Technic	A yellow and black model car with a detailed front and rear, featuring a black roof and yellow wheels.	yellow car, black roof, yellow wheels, model car, technic
30035-1.mpd	Technic	A model car with a rugged design, featuring large tires and a boxy structure.	model car, rugged design, large tires, boxy structure, technic
